"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"project-Final.nlogox"
"experiment"
"01/26/2026 14:32:15:586 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","initial-distribution","exposureChance","population","[step]","count turtles","violenceLevel","peopleLeavePlatform","hateSpeechSpread","mean [opinion] of turtles","mean [radicalization] of turtles","mean [trust-in-platform] of turtles"
"59","Moderate Majority","0.2","500","20000","500","92.4","0","1798550","0.33733065180474825","0.9247504892718115","0.99333"
"57","Moderate Majority","0.2","500","20000","500","94","0","1966838","0.27372600299874733","0.9411985585993778","0.9967600000000002"
"62","Moderate Majority","0.2","500","20000","500","88.8","0","1617884","0.3922893371501122","0.8886103135180792","0.9900100000000001"
"65","Moderate Majority","0.2","500","20000","500","91.8","0","1768232","0.6547017438686186","0.9189088646974171","0.9941399999999999"
"61","Moderate Majority","0.2","500","20000","500","91.8","0","1743915","0.6533829988300506","0.9186687343681537","0.9949200000000002"
"60","Moderate Majority","0.2","500","20000","500","92.80000000000001","0","1836193","0.6770427380886559","0.9291226069232206","0.9959000000000003"
"64","Moderate Majority","0.2","500","20000","500","90.2","0","1681553","0.6226842711491335","0.9034659721115325","0.9929800000000001"
"63","Moderate Majority","0.2","500","20000","500","92","0","1818432","0.668989037576353","0.920822205841255","0.9958100000000002"
"66","Moderate Majority","0.2","500","20000","500","89.4","0","1651428","0.400726409276632","0.8952365974633385","0.9864800000000001"
"68","Moderate Majority","0.2","500","20000","500","90.8","0","1741977","0.6412979734082085","0.9091921947506258","0.9932300000000002"
"67","Moderate Majority","0.2","500","20000","500","90.8","0","1677070","0.6281710907002823","0.9096972277192157","0.9949699999999999"
"69","Moderate Majority","0.2","500","20000","500","90.60000000000001","0","1706146","0.37400455369439517","0.9067651302078235","0.9912700000000001"
"70","Moderate Majority","0.2","500","20000","500","91.2","0","1753005","0.3609397794620651","0.9131862409888376","0.9903700000000003"
"72","Moderate Majority","0.2","500","20000","500","90.4","0","1724350","0.36460146916112124","0.905991783971678","0.99458"
"74","Moderate Majority","0.2","500","20000","500","89.2","0","1647102","0.39391649830332476","0.8926905121273834","0.9898399999999999"
"71","Moderate Majority","0.2","500","20000","500","93.8","0","1884781","0.692864121793769","0.9385336160197064","0.9948500000000001"
"75","Moderate Majority","0.2","500","20000","500","92.2","0","1799309","0.3314801412236159","0.9233560716673633","0.9956299999999998"
"73","Moderate Majority","0.2","500","20000","500","94.19999999999999","0","2017571","0.254863219855327","0.9437043589446338","0.99897"
"77","Moderate Majority","0.2","500","20000","500","92.4","0","1814651","0.333375479675823","0.9249227340674768","0.99312"
"82","Moderate Majority","0.2","500","20000","500","90.4","0","1773201","0.34942380896555364","0.9047321993261255","0.9950900000000003"
"78","Moderate Majority","0.2","500","20000","500","91.2","0","1730289","0.6428838300759525","0.9130995240027099","0.99294"
"76","Moderate Majority","0.2","500","20000","500","92.2","0","1744242","0.653248767149574","0.9223787306158284","0.9966600000000001"
"79","Moderate Majority","0.2","500","20000","500","91.2","0","1708775","0.6272289751137625","0.9129724300606675","0.9881"
"80","Moderate Majority","0.2","500","20000","500","91","0","1691598","0.62802930482848","0.9110904954054415","0.9915600000000001"
"81","Moderate Majority","0.2","500","20000","500","91.2","0","1739072","0.3522804428529024","0.913071534283989","0.9955800000000002"
"83","Moderate Majority","0.2","500","20000","500","91.60000000000001","0","1756850","0.6469296438088181","0.9168659991675381","0.9914700000000001"
"84","Moderate Majority","0.2","500","20000","500","92.60000000000001","0","1796456","0.33383600943013797","0.9270910641308889","0.9960800000000002"
"86","Moderate Majority","0.2","500","20000","500","92","0","1811378","0.3336736677790699","0.9207770338670626","0.9943200000000001"
"85","Moderate Majority","0.2","500","20000","500","93.8","0","1872855","0.31039465919392384","0.9386736421111942","0.99501"
"87","Moderate Majority","0.2","500","20000","500","93.2","0","1854508","0.6817103230491969","0.9324791333826916","0.9924299999999999"
"88","Moderate Majority","0.2","500","20000","500","92.2","0","1784612","0.6577233089870648","0.9228586673948812","0.9926799999999998"
"89","Moderate Majority","0.2","500","20000","500","92.60000000000001","0","1802467","0.3299615741678781","0.9268601596386781","0.99305"
"91","Moderate Majority","0.2","500","20000","500","91.8","0","1763985","0.3497457810447265","0.9188341791494088","0.99251"
"90","Moderate Majority","0.2","500","20000","500","94","0","1915771","0.7043120510859954","0.9405996694889577","0.9978600000000001"
"92","Moderate Majority","0.2","500","20000","500","92.2","0","1779949","0.661446759892608","0.9229531436930344","0.9946600000000001"
"93","Moderate Majority","0.2","500","20000","500","88.6","0","1657118","0.6125333559725764","0.8885428402799098","0.9901200000000001"
"94","Moderate Majority","0.2","500","20000","500","91.2","0","1745625","0.36500643939866795","0.9129179652766766","0.9897500000000002"
"97","Moderate Majority","0.2","500","20000","500","90.2","0","1696109","0.3748238020639895","0.9029054474516008","0.9907"
"95","Moderate Majority","0.2","500","20000","500","92.4","0","1815836","0.32797772713488044","0.9256400450476415","0.9945300000000001"
"96","Moderate Majority","0.2","500","20000","500","93.60000000000001","0","1893199","0.6967880905635565","0.9368452779108933","0.9959400000000002"
"98","Moderate Majority","0.2","500","20000","500","93.8","0","1947381","0.27947862406357","0.9392919924447368","0.99725"
"99","Moderate Majority","0.2","500","20000","500","91.60000000000001","0","1773794","0.3441622690974089","0.9172387578369076","0.9939600000000003"
"100","Moderate Majority","0.2","500","20000","500","93.60000000000001","0","1887052","0.3016287312775129","0.9365992116108454","0.99685"
"101","Moderate Majority","0.4","500","20000","500","88","0","1933647","0.7043438439443295","0.8812911911337982","0.9751600000000002"
"102","Moderate Majority","0.4","500","20000","500","87.6","0","1904597","0.3039621871647618","0.8774571947201888","0.9756600000000002"
"103","Moderate Majority","0.4","500","20000","500","88.8","0","1962060","0.7119928901768812","0.8889775539898106","0.9701199999999999"
"104","Moderate Majority","0.4","500","20000","500","84.8","0","1760903","0.6590502425591531","0.8497158478250024","0.9595600000000002"
"105","Moderate Majority","0.4","500","20000","500","86.2","0","1851338","0.6842869428020679","0.8636735629428752","0.9749299999999999"
"108","Moderate Majority","0.4","500","20000","500","87.8","0","1907122","0.6999313907248293","0.8797618436264213","0.9692099999999999"
"107","Moderate Majority","0.4","500","20000","500","88.6","0","1968379","0.2857821444753703","0.8868586173647807","0.9788000000000001"
"106","Moderate Majority","0.4","500","20000","500","92.2","0","2196545","0.21651216934443482","0.9226188373459109","0.9907999999999996"
"109","Moderate Majority","0.4","500","20000","500","88.8","0","1943890","0.7055970633540067","0.8893910380970029","0.9669900000000001"
"110","Moderate Majority","0.4","500","20000","500","85.8","0","1798119","0.33466660210104743","0.859327617119061","0.9553500000000004"
"112","Moderate Majority","0.4","500","20000","500","86","0","1796960","0.6781288787551338","0.8609976754144678","0.9717200000000001"
"111","Moderate Majority","0.4","500","20000","500","88.4","0","1971774","0.7141037298225168","0.8851738177846578","0.9760200000000001"
"113","Moderate Majority","0.4","500","20000","500","89","0","2007000","0.7310017186694087","0.8911216618123382","0.9813999999999997"
"114","Moderate Majority","0.4","500","20000","500","86.4","0","1848014","0.6819685428320719","0.8649321681837311","0.9688"
"115","Moderate Majority","0.4","500","20000","500","89.4","0","1992815","0.7267210529412106","0.8957352283181741","0.9837199999999997"
"116","Moderate Majority","0.4","500","20000","500","87.8","0","1919074","0.7025706580323616","0.8790337357486329","0.9721399999999998"
"117","Moderate Majority","0.4","500","20000","500","87.6","0","1900419","0.30417003412214383","0.877180216838231","0.9761299999999997"
"122","Moderate Majority","0.4","500","20000","499","87.97595190380761","1","1905590","0.7012156038419657","0.88076502538898","0.9671042084168335"
"118","Moderate Majority","0.4","500","20000","500","89.60000000000001","0","2013385","0.27223629455561843","0.8970346412338996","0.9781800000000005"
"119","Moderate Majority","0.4","500","20000","500","86.8","0","1861524","0.3075561972135906","0.8693034304729987","0.9692400000000001"
